,Unnamed: 0,web-scraper-order,web-scraper-start-url,article,title,stance,perspective
0,0,1582733989-596,https://www.debate.org/opinions/should-abortion-be-legal,Abortion is killing a baby (which is murder!!! Which is illegal!!!). You think it's okay to kill an unborn baby but it's not okay to abuse and kill a ten year old... And you have two other options instead of that. Option one; you could not get pregnant . Option two you could give the baby to a family that cannot have kids!!!,Abortion shouldn't be legal!!!,against,[16]
1,1,1582733935-456,https://www.debate.org/opinions/should-i-get-an-abortion,"Most abortion advocates never had an abortion themselves. They are childless and they live alone. Yet they never cease to meddle and push for abortions. 
Yes it is your body and yes it is your choice but the getting an abortion is stupid. A lot of girls become infertile and they will never be able to bear children and they will have a damage that never heals. 
We are talking about get your insides stabbed and vacuum and they often leave stuff inside that can rot or they can scrape your insides. 

Those abortion advocates do not care about you. They will ignore you the minute you finish and they will go to the next girl. 

Ignore those psychotic people who will die alone.",You can become injured,against,[30]
2,2,1582733989-667,https://www.debate.org/opinions/should-abortion-be-legal,"To kill a baby, is to kill a human. You would not kill a ten year old child, so why would you kill a baby? They have a right to live too, just like you an I. Abortion is no doubt, murder. It is not in any way ok to do.",Abortion is murder,against,[16]
3,3,1582733957-502,https://www.debate.org/opinions/is-abortion-a-womans-right,"One person's freedom ends where it infringes on another person's rights. In the case of pregnancy, a woman's right to control her body doesn't give her the right to damage the fetus's body, unless the pregnancy poses a direct threat to her own life (self-defense is always justified).

Inherent to this is the assumption that the fetus is a person, which is the only logical conclusion from the biological evidence. By 4 weeks, the fetus has a brain and a heart, making it more than a lump of cells, and a DNA test will confirm that it's human.",Life trumps Choice.,against,[16]
4,4,1582733989-736,https://www.debate.org/opinions/should-abortion-be-legal,"I do not care the circumstances. When you have sex you know what the consequences could possibly be. When you get an abortion you are literally taking someones life away. There are other options, you can give the baby up for adoption. Did you know that some women can't have children and would love to take care of yours. It is not the child's fault that you were not responsible. You can't undo an abortion, think first.",Abortion is not the answer,against,[24]
5,5,1582733992-785,https://www.debate.org/opinions/pro-choice-or-not,"I know a few people who have had abortions and it's because they were being not responsible; and based on them im sure nearly everyone who has an unwanted pregnancy, Is due to them being not responsible. All the pro life arguments i 100% agree with because abortion is just wrong and a clear result of irresponsibility.",You either have a baby or don't have sexual intercourse!,against,[24]
6,6,1582733989-772,https://www.debate.org/opinions/should-abortion-be-legal,That baby shouldn't have to suffer or have its life taken from him because of a mistake you made. Stop passing the blame off and start taking responsibility for your actions. If a teenager thinks that they are mature enough to have sex then they should be ready for the responsibility involved with it.,Stop passing the Blame,against,[24]
7,7,1582733989-703,https://www.debate.org/opinions/should-abortion-be-legal,That child has such potential and simply because it doesn't have the voice to speak up for itself somehow people think it is acceptable to determine the fate of another life. We are generation that hugs the trees and sharks but kill our own children simply for conveniences sake. Its simply wrong,Yes it may be inside your body but it is most definitely not your body.,against,[16]
8,8,1582733989-666,https://www.debate.org/opinions/should-abortion-be-legal,"I believe that abortion is murder. However a lot of people are asking, What if she gets raped? She did not make a decision to get raped, why does she have to ""end"" her life for a baby she did not want?   It happened because God allowed it to happen for a reason.   Her life does not have to end. If she doesn't want to keep the baby, there is always the option of adoption.",Abortion is murder. But what about when a young girl gets raped?,against,[16]
9,9,1582733989-641,https://www.debate.org/opinions/should-abortion-be-legal,"That's all everybody agreeing with abortion is saying. How is this possibly ok if it has a brain and a heart, IT'S OWN BRAIN AND HEART! It's not her body it's somebody's else's body. ""What if she was raped"", That's a valid argument however just put it up for adoption. In my opinion the only time abortion should be allowed is if the mother would die otherwise.","""Her body her choice""",against,[16]
10,10,1582733989-671,https://www.debate.org/opinions/should-abortion-be-legal,"Think of a flower; you plant a seed in the ground, but it is only a seed. That seed will eventually sprout and begin to grow. Would you call a stem with a bud that has not yet bloomed, dead? Is it still considered a flower even though it is not fully grown? In spring, when we see flowers sprouting we still call them flowers. If I went to my mothers garden and snipped all the sprouted flowers off and told her, ""Oh those aren't flowers because they are not fully grown"", she would not be very happy because guess what? Those ARE flowers! As humans, we are constantly changing; constantly developing.   Just because it hasn't developed into something that looks exactly like a human yet doesn't mean its not a human and life.",Abortion is taking a life,against,[16]
