Unnamed: 0,web-scraper-order,web-scraper-start-url,article,title,stance,perspective
160,1582733989-656,https://www.debate.org/opinions/should-abortion-be-legal,"I understand that having a baby could mess up some people's lives, but the baby is still a person, just as much as the mother. Nobody deserves the right to kill someone just because that someone inconveniences them. If we are not allowed to kill rapists, murderers, and drug dealers, who have done incredible harm to the world, why should it be such an acceptable thing to kill someone who hasn't? We they deserve a chance just like everyone else.",It is a right we shouldn't have.,against,[16]
858,1582734700-957,https://www.debate.org/opinions/should-abortion-be-illegal,Abortion should be illegal because your killing a human being. Why kill them ? They should be able to live life and enjoy it not get killed just because your not ready to be a parent or because other reasons people might have. The baby you are expecting has the right to live.,Your killing a human,against,[16]
2407,1580224689-30,https://www.debate.org/opinions/do-women-have-the-right-to-abortion,A baby does not have a soul until it takes its first breath therefore we are not killing anything but a shell of a body. It has no personality it isn't even a fully developed human yet. So we wouldn't really be killing anything just a shell. NO need to even worry or feel sad about killing a shell huh?,It's a good idea.,for,[3]
2237,1582735052-2213,https://www.debate.org/opinions/is-abortion-wrong,"This is because a fetus isn't a person. Does a fetus have thoughts? Nope. Does a fetus have memories, or aspirations for the future? Not so much. Does a fetus have any concept of emotion whatsoever? Nope. Does a fetus have relationships with others? No, a fetus is isolated in a mother's womb with no one who loves or cares for it. A fetus is not a person; it's simply a developing human that has the potential to become a person.

I'd say these are fairly significant differences. Saying something has great value simply because its biologically human is well... Silly.",Killing a fetus is not the same as killing a person,for,[3]
2620,1580744701-397,https://www.debate.org/opinions/should-abortion-be-allowed,"Abortion should be allowed, as it is a matter for the individual conscience to decide. Societal beliefs regarding when human life begins vary, and we cannot make laws regarding matters of belief only unless those beliefs are commonly shared. It is not right to assume everyone shares a certain belief and then inflict it upon them to live by that belief.","Yes, abortion should be allowed",for,[3]
1786,1582734972-2031,https://www.debate.org/opinions/should-abortion-be-illegal,It should'nt be as its my own decision whether i want it or not..I would never let the govt   decide about my personal matter!!And i have seen people commiting suicide because of they being pregnented and society and parents not accepting them...Which is result in the loss of a mature life rather than an infant who nis not yet introduced or connected to the world!!!,My life my decision,for,[2]
972,1582734815-1684,https://www.debate.org/opinions/is-abortion-wrong,Abortion is totally wrong! If your mother had gone and aborted you would you be the happy healthy person you are now? Before cruelly murdering an unborn child please think about the pain and agony this poor baby is undeservingly going to go through? What if this baby was you? Think about it.,What if you were aborted?,against,[16]
1820,1582735052-2396,https://www.debate.org/opinions/is-abortion-wrong,"Everyone should get a chance to choose whether they have a baby or not. What if a woman was raped and ended up pregnant? If abortion was illegal she would have to have that baby and have to live with the constant reminder of what happened to her. It would be like ptsd but she would have no way of being able to heal from it. I think children should be born, or adopted in to, families that actually wanted them and not just having to keep unwanted babies because some people can't handle that you can have abortions.",The right to choose and children being in families where they're wanted,for,[11]
1977,1582735052-2541,https://www.debate.org/opinions/is-abortion-wrong,"Abortion should be legal in all countries to help lower the unwanted child rate. At the time a fetus is aborted it is not alive, and is most likely not smarter than a pigeon. Think of the mother's right, going through all that unwanted pain for 9 months. What really matters is free will over your own body, and therefor it should be absolutely legal.",No. Abortion should be legal in all countries.,for,[11]
2054,1582735052-2534,https://www.debate.org/opinions/is-abortion-wrong,"There are many reasons a woman may NEED to abort a child (mainly health and medical problems). An unborn embryo, fetus, or baby cannot have rights over the woman who is carrying it. Some pregnancies aren't under the best circumstances (I will not go into detail about rape, drug abuse and disease) and no woman should be forced to carry a child in her womb for 9 months, especially if she feels she has no connection or want for the baby. All of this comes do the choice of the individual woman. I do not however support women using abortion as a birth control method.","I do not support abortion, but I do support pro-choice.",for,[2]
