docs,topic,viewpoint,words,perspective,sum_topic
"Bible-believers hold God’s Word as their absolute authority. There is absolute morality because there’s an absolute authority. And as a result, we believe that abortion kills a human being because each human being is designed in God’s image (Genesis 1:27) and carefully knit together in the mother’s womb by God (Psalm 139:13–16). The Bible makes no distinction between life that’s been born and life that hasn't been. Therefore, murdering an unborn life is just as heinous as murdering a life that has been born.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
Abortion should be illegal God created the earth and us humans And to destroy a precious gift such as a baby that's messed up. Are mother's did not abort use so why should abort our babies those babies have a right like we do like we fight for our rights so let's fight for the rights of those babies. Let's give those babies a chance at life. Like how our mother's gave us a chance at life let's do the same for those babies.,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"There is a distinct separation of those who are for the value of life and those for the destruction of life. It has always been a division of religion. Christianity has always fought and subversively taught that all people have value because they have been given life by God. No other life can extinction another life for its own perceived ends or goals. A mother has no right take the life of her child just as Hilter had no right to take the life of so many. Christianity has always held that women, children, the disabled, the poor and the enslaved have value and therefore should be treated as such by others and the government. It has taken 2,000 years but finally human rights are a concept that is more that just the cry of Christianity, but this is where it started. Here to the advancement of human rights continues. A childs life, whether in the womb or out, is not the toy or possession of the mother. Life is the possession of no other person or being. Such values are not taught by any other study as explained here: http://www.exegeticalstruggles.com/2011/08/religion-is-better-than-science-why.html",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"From a religious point of view, of course abortions are wrong! God commanded man and woman to be fruitful and multiply (in marriage) to populate the earth. Unless I was absent the day of Sunday school or in the 10 years I spent at a Christian school we were taught that God said we could kill an unborn baby for whatever reason, I don't think it's right. 

From a political point of view, abortions are just an easy way out of parenthood. Feminists believe it's their right to get an abortion if they want to since it's ""their body"". Well, what about the baby inside them? They could be a female. Where's her rights? You just took hers away by allowing doctors to vacuum her out of your womb! How DISGUSTING. Also, abortions cause long term effects on a woman's body and mind. Any mother to be always becomes emotionally attached to her child the minute she finds out she's pregnant. Killing her child should be the LAST thing on her mind! Not to mention if she wants to have kids later on in life, she probably won't be able to conceive again bc of her previous abortions. They can affect fertility. All around, abortions are very wrong and should be made illegal immediately!",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"God says ""tho shall not murder"" and abortion is slaughter. Also we say ""... One nation , under god"" when we pledge to our flag but do we really fulfill those word because God say not to murder but we don't anyway even though we say we will live by God. Food for thought.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"The reason for man's existence is to procreate and fill the earth and mankind cannot play God by determining which child dies or lives.All that God wishes to give must be taken as a gift from him whether the baby is ugly or not ,that is what God want to",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"God always has a plan for you and if that means you have a SURPRISE baby, so be it! God   will always take care of you and won't ever leave you! That baby is a blessing in your life, take responsibility of your baby and LET HIM LIVE!!!!!! He could grow to be amazing!",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"One nation under God. Its been a statement known for years even in the PLEDGE OF ALLEGIANCE. Laws of today are even based on religion such as do not murder, do not steal, etc.. And freedom, having the chance to worship how we want buy the things we want because granted us FREE WILL. If this country was not under Gods word we'd be a mess. People would just killing and no justice would be served. If we are always doing are laws under Gods word, why change that up? If anything we should be let our teens be taught a lesson. If they want to have sex before marriage, let them, because they'll never learn. Although if they listen to God in the 1st place, this wouldn't be a issue.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"It is killing innocent life. Would you kill a newborn baby? I would think not. God says in Proverbs 31:8, ""Open your mouth for the dumb in the cause of all such as are appointed to destruction."" He has a plan for all people, when you chose abortion, you ruin God's plan for our world.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
Those are gift from god.   Even if she got raped but it was god who plan it.   Because there's a reason why she got raped.   And maybe this newborn have something more important that the world need. Maybe this newborn is going to save this world.   But who know?? ONLY GOD KNOWS,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"It is wrong for a woman to kill her baby in her womb. Life is what really counts in our world today. God gave us life. So should we do the same with others, including unborn babies. Every baby is a special gift that women received from God. That is my opinion about abortion and why I am not supporting it.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"The bible clearly states that we shall not commit murder. The termination of an embryo, fetus, or whatever ""clinical"" term chosen to represent the ""child"" is exactly the opposite of that. We cannot continue to change the rules and definitions to fit our situations. Just because the ""child"" is not fully developed yet in the weeks the abortion takes place, does not give us a right to classify him/her as anything other than that to make abortion seem OK. No matter the circumstances, it is morally wrong in every way to kill a living human being.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Because it is HORRIBLE. You are killing an innocent child for your wrong action. I get it if you were sexually assaulted, that still doesn't mean you should kill an infant. Putting the child up for adoption is a much better decision. Abortion is also against God's word, and his plans for that child. What if God wanted that child to grow up to cure cancer? That makes you feel bad doesn't it? Well it should if you think killing an innocent little child is okay.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Hi my name is Kathryn and I am in year7. I go to sarah bonnell secondary school. In the bible it says DO NOT KILL and your killing the baby so that is braking the ten commandment. 
Even the law says DO NOT KILL. So my point is abortion should be band.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Countries like China are killing more babies than having them.This 
will wipe out their society.The last thing I want to see is that happening to the U.S.It's murder and is wrong in God's eyes.May       God save us from this holocaust in this land.I think abortion doctors are murderers like Adolf Hitler.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"I'm Catholic, and abortion goes against everything I've been taught. Doctors are saving animals with their left hand, and killing innocent babies with their right. If I had the means, I would adopt every baby in the world that someone would abort. As soon as the baby starts to grow, it has feelings, and is in fact a human, no matter what the government calls it.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"If you love GOD and others, you wouldn't kill your own flesh and blood or potential flesh and blood. Your parents did not abort you. Why should you do it to your child?Life is sacred. Remember, small practices of killing can lead to mass killing. It is against what our creator, GOD, wants and has planned for me and you. GOD bless you all. Peace.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"The Bible says thou shalt not kill. A mother that carrying a child has no right to abort the child . Anyone who has an abortion is rebelling against God's law and it is wrong to have an abortion. It is a life they are taking. Nobody has the right to take lives, only God can do that. God did not give child-carrying mothers the option to get abortions. There is no exception to God's law.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"For the Christians out there, if the life of the mother is in danger, abortion is still immoral.   God reserves the right to take someone home, whether that person is 20 weeks in the womb, or 20 years.   And a large percentage of those abortions because ""the life of the mother is in danger,"" are called that because the physician can earn more money for that diagnosis.   In fact, many times, a pregnancy cures the ailment rather than furthering it.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Abortion is murder. You are killing a human being, once it has heartbeat that child is alive. Yes, in certain circumstances such as rape or the fetus being a danger for the mother to live, then that is understanding for a mother to have an abortion, otherwise.. NO! WHY should an unborn child have to suffer because the mother wanted to be not responsible? Even if she did take all precautions to not getting pregnant she STILL knows that there is a possibility of getting pregnant regardless.     Now what I feel they should do is put limit to this. For instance ,   alcohol in some states is illegal if you drink before the age of 21 or the age of 18, but afterwards it becomes legal in cases like this, if a female gets raped or can't hold the child due to medical reasons then NO, she should have the choice to have an abortion. Adoption is always an option though and even if that child is in unloved homes, or foster cares for years, etc. Well , that's God decision to decide how the child's future would be, not yours. Abortion is all around wrong, and in the bible it states it clearly but of course there is exceptions for certain situations.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"Why is abortion not considered murder, but if one kills a pregnant woman, they are charged with a double homicide?   Why is it unacceptable for a stranger to kill an unborn baby, but it's acceptable for mothers and doctors to do so? The baby that you are thinking about aborting could be the next Einstein or Beethoven or they could find a cure for cancer.   Children are gifts from God. Even if you cannot provide for the baby, they are plenty of couples that long for a baby, but aren't able to have one. You could put the baby up for adoption and answer someone's prayers",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"A lot of people say that abortion is the only way out of a sticky situation you might get yourself into. Well, it's not. Adoption is ALWAYS an option. Yeah it might be an annoying, aggravating     9 month wait, but if I had the option of weather I would want to bear the guilt of giving a baby up or killing a baby that could of been something amazing, I would definitely choose adoption. When you look at the amount of women abortion saves vs the amount of babies that it prevents from living on this planet, I think it would be worth losing 12 women to save 100,000 babies.   Seriously abortion prevents the life that baby could have! Where would we be today if Benjamin Franklin's mom would of aborted him?   Exactly. There would be no electricity. That baby that you want to abort could be something in this world. Even if you debate weather the fetus is considered a baby or not, do you really want to ruin the chances of a beautiful baby? Think about your life. Think of the thought of never ever being born. Do you mean anything to anyone? Because even if you don't you do to God. If you were never born, that person you mean so much to wouldn't even know you.   Even if   you do t mean something to the world, you do mean the world to someone out there. If are debating weather the term ""murder"" should be used, just go look   the definition up.   It's killing a baby.   If you say that the bible says murder is ok, well then you need to do some studying.   Is murder ok? No, no it is not.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
A baby is living in the womb and deserves a chance. If your raped give the baby away. Pro-abortionists say that outlawing abortion would restrict a woman’s right to privacy. Is that right absolute? Does somebody’s right to privacy exceed another’s right to live? God created life and it is a sin to take it away.,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"We have the right to LIFE, liberty, and the pursuit of happiness. Just because a woman believes it is her choice to end another's right to life, doesn't mean it's right. 

God said not to kill, people reason that it isn't fully dependent of his/her mother, so they justify killing.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Abortion is never a mere personal choice but a grave offense against God and His creation. The anti-abortion struggle has always been a religious battle and foremost in its ranks have been Catholics across the country. This is because Church teaching on abortion is clear and unequivocal: Abortion is murder. There are no exceptions allowed, no compromises possible. It wrong and people should really think or use protection if you plan on having sex.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
In the bible in exodus 20: 13 it says you shall not murder. I think it's wrong because it is killing a human being even if it is a fetus . It's still alive because it has a heart beat. Think about it how could you after you killed your own baby. I would be ashamed and would be on my knees repenting for what I did and be asking for His forgiveness,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"I believe that abortion is wrong for many reasons but just the tip of the iceberg is that it is just immoral.  It is a proven fact that a fetus has a heartbeat after 5 weeks, around the same time some doctors like to perform them. In the Bible one of God's 10 commandments is ""thou shall not kill"".  Even if you do not believe in god you cannot deny the fact that it is killing children.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"The primary reason abortion is wrong is because God said we are not to murder.   But not all people believe what God says, so let's look at it from a different angle. We are allowed to take life under the prescribed requirements of law, such as self defense, war, execution, etc.   Each of these areas deals with Law.   Self defense is justified because an antagonist is breaking the law (burglary, robbery, assault, etc.), and we can use force to protect ourselves and our property.   War is the legal declaration of hostilities towards another nation.   Execution is the legal taking of life against someone who has committed a crime, or crimes, worthy of execution.   In each case, the antagonists are dealt with for the wrongs they have committed. However, the baby in the womb has done no wrong, yet it is executed.   It is executed but has broken no law!   What crime has been committed?   What law have they broken in their existence?   None.   Yet they are killed. I am reminded of Nazi Germany.   The Jews were guilty of being Jews, and were, according to the Nazis, worthy of death.   Likewise, the babies in the womb are guilty of being babies in the womb, and are, according to the parents, worthy of death.   What laws did they break?   What made them unworthy of life? The answer is simple: it depends on the opinion of those in power, of those wielding the knife and redefining what is life, and of those deciding who is worthy of life and who should die. It is only in abortion that someone is executed but has not violated the law.   This is fundamentally wrong, and this is why abortion is wrong. Since when do we kill someone who's broken no law? Since when do we kill someone who's only ""crime"" was being brought into existence via the copulation of his or her parents?",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Your killing a baby Ifs horrible your killing that tiny little baby inside you. That's your future don't just chuck it away. You have to go through so much pain. You will regret it big time i'm telling you.   
The Bible says in the 6th commandment that we shall not kill.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"In the Bible, God says that he creates everyone in his image. He also said in the ten commandments that there should not be murder. Abortion is the murdering of God's creature that is made in his own image. Imagine what God would say if you were murdering his children.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
A girl should think 1000 times before having sex. I don't understand how decision of having abortion is easy for them. A girl is not the one who think about whether she should give life to baby or not but it's the God to decide a child's life and if god has gave a life to human being then he is the one to give him or her a happy future.,4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
I know that everyone makes mistakes but don't take your mistakes out on that baby.   You're taking life from a baby growing inside you. Do you know that you're smashing a baby's head when you get an abortion.   When women get an abortion that means that baby will never see the light of day. In my religion ( Christianity ) we believe that's a form of murder. So women that are not ready I would strongly suggest adoption NOT abortion,3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"This is a gift from God you are terminating, you do not know what are the outcomes of the baby. This is totally insane and showing that you can take a bribe to kill a human. Why don't you just adopt the baby to those who need them in their lives?",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Abortion is not fair. Abortion takes away the life of innocent little ones. God does not see pleasure in this doing. This is quickly becoming a habit of the our people, and it is not right. Killing just about anything with life in it can also might as well be known as murder, therefor, it is wrong.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"The child inside it's mothers womb has a right. A right to grow old and have children. A right to learn. A right to love. A right to live. Abortion is murder. It's against the word of God. And I don't care what everyone else thinks, a child is a gift only to be destroyed by some woman who decides that she can't handle it? The least they could do is put the child in an orphanage. Your killing maybe the most beautiful thing in the world. It's a child, not a choice",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
In many Catholics eyes it is wrong but there has never been a bill passed to stop it should there be one?   There should it is a killing of an unborn child. It is basically murder the baby is already living within the first few weeks. God is the one who gives lives and takes them not humans.,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Yea a women can get raped but it is not at all the babies fault. Yea you can carry the biggest, worst memory in your life, but God made everyone for a purpose. That baby wasn't made just 'cause but for a reason. ""Everything happens for a reason.""   Either for you to learn the hard way or to make you a better person.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"I'm not going to go into religious detail about this. This should be clear as day to people from all religions. You have a baby in there, and you decide to intervene to get rid of it. Killing a single celled organism and a stem cell are two different things. The stem cells have 100% capability to become a baby, the cell, is a cell. That's all it will be.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"All people are selfish. We all are. You, me, everyone. Some people think it is alright to kill an innocent baby, just because scientist have 'reason to believe' that it is not living. If the baby is not living, how does it hiccup? How does it kick and squirm? Fetus? To hell with that. 
Read C.S Lewis's Matter of Abortion. It is about a demon writing a letter to another demon on how they think abortion is right. 
           In the article, Matter of Abortion, the author proclaims that humans have a right to deny the freedom to life. The reason the author gives us the right is because he feels we have rights over our own body. The author feels if a woman finds out she is pregnant unplanned, and she feels that the baby inside will ruin her chance in life, she automatically decides to deny the life of her own flesh and blood for her own benefit. God’s gift of life is precious. In our selfish world, humans believe they have the liberty to do whatever they please, to please themselves and to make their lives better. People are easily led to believe that they have authority over their own body, to take a life to make their life better, even if it means taking away a precious gift. In the article, Matter of Abortion, the author says:   “With creative cunning, we have corrupted, ‘loving our neighbor as self’ into ‘sparing my neighbor from any discomfort I would want to be spared from.’ Since I would want my daughter spared from the punishment- as one of statesmen have called it- of an unplanned pregnancy, I will not deny my neighbor’s daughter the same relief.”   The goal of abortion is to rid the ‘discomfort’. In the eyes of the devil, “abortion does the cause no good, unless it delivers souls to the nether banquet.” If all their (evil) work succeeds only in the death of the baby, for which the mother later feels remorse and seeks forgiveness, they have failed miserably. What they seek in abortion is not only the death of a baby, but the feeling of the inability for forgiveness. They want her to feel lost, alone and disgraceful. To fulfill the hopelessness of any possibility to be loved again or be forgiven. They want her to be isolated from everything and everyone, especially from God.   But what the devil doesn't understand is that God forgives. He is ultimately, true love. His grace is unconditional, and He forgives.
Acts 13:38 says: Therefore, my friends, I want you to know that through Jesus the forgiveness of sins is proclaimed to you. Through Christ, our Savior, we can be saved. We can be forgiven through Him. Look at the Apostle Paul. He was murdering Christians for their faith. God confronted him, and Paul repented. He was washed from his sins, through the blood of Christ. Because Christ died for us, we now have a way to be saved.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"If you have baby developing in you are body, Leave it there. Even though abortion is legal in the U. S. That is not the way. If your getting   child, God is preparing you to test yourself and how much you care. If you kill that child, Don't even bother forgiving yourself. Remember, Children challenge you, And you get your child ahead of you and prepare for life because. . . There is no easy in life",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Some people say that a fertilized egg isn't a human until birth. This is not true and in the womb, babies have feelings, it is scientifically proven. Also, the government made it illegal to even touch a Bald Eagle's egg in fear that the bird in it might die, but they make abortion legal, which is ending the life of a human, created in the image of God, just like everyone else.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"The reason i think its wrong, is because it has a heart beat, the bible says not to murder, and i think its a gift. If your not responsible enough to take care of a child then dont have sex. God designed us to multiply. This is why i think its wrong.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
SIMPLE --- you are not God and neither am I !     Time for us to conform to (the creator) his ways not him to our ways.   We all will die and face HIM and take an account for what we did and allowed and supported as being a culpable participate in these things.,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"No matter how young or how much a mother can't care for them or how much the mother is abused to do it. IT. IS. STILL. LIFE! 
I don't get why people are not aware of the horror that is happening! 
God says no. I say no. You should too.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Thou Shalt not murder.

God said in Book of Jeramiah that life begins at conception, not birth! We need to make abortion illegal. True, women will due unsafe abortions. THe great news is, since unsafe abortions endanger the mother's life, less people will do it. Babies need life! They are humans and not objects",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Even if you're not religious or anything, HEAR ME OUT!
God creates each baby from conception with a PLAN and a PURPOSE for them; abortion destroys this baby's chance at life! And you can ban me or hate me or whatever, but you cannot get rid of God. One day you will come face to face with him and he will tell you that abortion was WRONG.
So ignore me, argue with me, but the Lord above says abortion is WRONG and therefore it is! So I pray for all of you that have been lied to that abortion is right. Thank you.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Bottom line- killing another child is homicide...Murder. If you decided to have sex and you, as a female, end up pregnant, that's your responsibility. If you were raped, then you're not at fault. However, if you do not want a child, then the better alternative is to put the child in the care of dependable, responsible adults you know closely and can trust. God is responsible for the creation of all life. The child was created for a reason; the female did not have a miscarriage for a reason. Getting an abortion is not only killing an innocent child, it is rejecting a gift from God.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"But remember there are other religions in the world   that say you can have an abortion inn Islam you can have an abortion before the 4 month period to have an abortion, and some people are not aetheists so they do not believe in God any way so what is the point",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Supporting abortion is akin to supporting murder. God is life, the source that provides the mechanisms for life to take place. Life is awareness and death is the absence of awareness. To choose life supports God's will. To choose and support abortion is to choose Satan's will: death.   How is this subject debatable? God is in the creation of each life from conception to birth. Aborting the development of God's creation is, I believe, the worst possible sin. I wrote to President Obama challenging him to discuss this matter. He has been misled to believe a woman has the right to choose to murder God's creation. Ask a child what they say about abortion. Children are innocent and would never say they think terminating a child's chance at life is right in God's eyes. Before we are born we go through a process. That process begins with sexual conception and leads to the process of life. God is in the cells that create life, so when we abort that process we murder God's creation. We as humans have no right ever to stop the process that is created by our creator. I can go on and on, but if it you can't see that abortion is wrong then you are not in touch with creation. God bless all. George Edginton.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Your denying the right to give this child a chance in the world. Your stripping away his opportunity to create something and become a benefit to society. It should be illegal because God did not say lets kill children, he said that every life is valuable and should be treated as such, i.e. Thou Shall Not Kill",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
You have no right to kill a child everyone deserves a life they deserve is you are not god you should not have the right to do it or even think about doing it how would you feel if your parents did not have you and got an abortion how would you feel about that,4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"We all have heard the argument that abortion should be legal because only religious groups are against. We hear many cry about the separation between church and state. But I want everyone to think about something: In the Bible, in the Ten Commandments, it says ""thou shalt not murder."" And here in the US, murder is obviously illegal. Why? Because it's morally wrong, whether or not it is also associated with religion. The same should be true about abortion. It is wrong not because it is in the Bible, but because it is the murder of an innocent child which is always wrong, no matter what you believe in.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Abortions is just wrong like taking drugs and smoking etc.!   It is written in all holy books that you shall not murder, also that they shall give a chance to everyone to live in this world, because we all have the rights! You are not god, therefore you cannot decide to take away life or give life. That is up to god. You do not control people, in the same way you are not powerful why take away the lives of innocent human beings? You will not like it if i took away your life before you where even born. Why do that someone else. This world is a test and every single human should have the right to live, because god gave them that chance don't take that away from them.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"You very well may also be defying God's ultimate plan. By killing that baby, you are killing one of God's children, of course, your (or one of) child(ren) and not even giving the baby a chance to show you how important they are in your life and the chance to show their purpose in God's plan! Jeremiah 1:5 tells us that God knows us before He forms us in the womb. Psalm 139:13-16 speaks of God’s active role in our creation and formation in the womb. Exodus 21:22-25 prescribes the same penalty—death—for someone who causes the death of a baby in the womb as for someone who commits murder. This clearly indicates that God considers a baby in the womb to be as human as a full-grown adult. For the Christian, abortion is not a matter of a woman’s right to choose. It is a matter of the life or death of a human being made in God’s image (Genesis 1:26-27; 9:6).",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
I think abortion is wrong because you are killing a human being. God told us not to murder but we do it everyday. Also I think it's cruel and heartless how they kill the baby. Why are we even killing them? They never did anything to us in order to deserve death. Parents just think the babies guilty for being alive but your the one who made it(with the exception of your husband or boyfriend),5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
You are Killing a baby! What if that baby was YOU. Its not the babies fault the dude couldn't pull out or wear a condom. I can see its ok if the mother is really not able to have the baby and could die if she goes through. It says in the bible to not murder. I hope when you stand in front of God someday he tells you it was okay to kill that person.,3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
