model,score
tfidf,3
tfidf,3
tfidf,3
tfidf,4
tfidf,4
tfidf,3
tfidf,3
tfidf,3
tfidf,5
tfidf,3
tfidf,5
tfidf,3
tfidf,3
tfidf,3
tfidf,3
tfidf,4
tfidf,3
tfidf,2
tfidf,4
tfidf,3
tfidf,4
tfidf,4
tfidf,4
tfidf,4
tfidf,4
tfidf,4
lda,4
lda,4
lda,4
lda,5
lda,1
lda,4
lda,3
lda,3
lda,4
lda,3
lda,3
lda,5
lda,4
lda,4
lda,4
lda,4
lda,2
lda,3
lda,2
lda,4
lda,4
lda,5
jst,3
jst,3
jst,3
jst,3
jst,3
jst,1
jst,4
jst,3
jst,5
jst,3
jst,3
jst,5
jst,4
jst,4
jst,2
jst,4
jst,4
jst,4
jst,5
jst,4
jst,4
jst,5
jst,5
jst,4
jst,4
jst,2
jst,4
jst,3
vodum,4
vodum,4
vodum,4
vodum,5
vodum,2
vodum,5
vodum,6
vodum,4
vodum,4
vodum,4
vodum,4
vodum,4
vodum,5
vodum,4
vodum,5
vodum,4
vodum,3
vodum,5
vodum,5
vodum,4
vodum,3
vodum,3
vodum,3
vodum,4
vodum,5
tam,4
tam,4
tam,5
tam,4
tam,4
tam,5
tam,6
tam,5
tam,4
tam,4
tam,5
tam,4
tam,5
tam,4
tam,4
tam,5
tam,5
tam,5
tam,6
tam,4
tam,3
tam,5
tam,4
tam,3
tam,5
tam,3
tam,3
tam,5
lam,3
lam,4
lam,3
lam,3
lam,4
lam,4
lam,3
lam,3
lam,3
lam,3
lam,4
lam,3
lam,2
lam,5
lam,3
lam,4
lam,5
lam,2
lam,4
lam,4
lam,5
lam,4
lam,3
lam,6
lam,3
lam,4
lam,5
lam,2
lam,3
