LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,JST1,JST2,JST3,JST4,JST5,JST6,JST7,JST8,VODUM1,VODUM2,VODUM3,VODUM4,VODUM5,VODUM6,VODUM7,VODUM8,LAM1,LAM2,LAM3,LAM4,LAM5,LAM6,LAM7,LAM8,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDF7,TFIDF8,Q17_1,Q17_2,Q17_3,feedback,age,gender,stance,topic_knowledge,RecordedDate,TAM1,TAM2,TAM3,TAM4,TAM5,TAM6,TAM7,TAM8,model,honeypot_all,honeypot_one
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,4 Fetuses are incapable of feeling pain when most abortions are performed.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,20,Female,Strongly agree,Strongly agree,2020-05-05 09:05:32,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,21,Male,Strongly disagree,Somewhat agree,2020-05-05 09:06:47,,,,,,,,,LDA,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,4 Fetuses are incapable of feeling pain when most abortions are performed.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Strongly agree,,20,Male,Somewhat disagree,Strongly disagree,2020-05-05 09:09:23,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",2 Reproductive choice empowers women by giving them control over their own bodies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,20,Male,Strongly agree,Neither agree nor disagree,2020-05-05 09:09:44,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,,37,Female,Strongly disagree,Strongly agree,2020-05-05 09:11:20,,,,,,,,,LAM,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,43,Female,Strongly agree,Somewhat agree,2020-05-05 09:11:29,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,12 Abortions reduce the number of adoptable babies.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,40,Female,Somewhat disagree,Somewhat agree,2020-05-05 09:11:42,,,,,,,,,VODUM,True,True
8 Abortion is justified as a means of population control.,4 Fetuses are incapable of feeling pain when most abortions are performed.,2 Reproductive choice empowers women by giving them control over their own bodies.,7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,10 Fetuses feel pain during the abortion procedure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,this study made absolutely no sense.,33,Female,Strongly agree,Somewhat agree,2020-05-05 09:11:44,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,2 Reproductive choice empowers women by giving them control over their own bodies.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Somewhat disagree,"Bad English grammar, makes it hard to understand some things. Also, some of the option presented do not match any statement correctly, thus forcing the participant to selecte randomly.",34,Male,Strongly agree,Somewhat agree,2020-05-05 09:13:16,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,Strongly agree,Strongly agree,Neither agree nor disagree,,42,Female,Strongly agree,Somewhat agree,2020-05-05 09:18:20,,,,,,,,,TFIDF,False,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,4 Fetuses are incapable of feeling pain when most abortions are performed.,12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,"not all the options seem covered, i.e. the answers were prescriptive",56,Male,Somewhat disagree,Somewhat agree,2020-05-05 09:18:29,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,12 Abortions reduce the number of adoptable babies.,4 Fetuses are incapable of feeling pain when most abortions are performed.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,55,Male,Neither agree nor disagree,Somewhat disagree,2020-05-05 09:18:53,,,,,,,,,TFIDF,False,True
8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,,20,Male,Neither agree nor disagree,Somewhat disagree,2020-05-05 09:23:20,,,,,,,,,LDA,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,4 Fetuses are incapable of feeling pain when most abortions are performed.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat disagree,This Survey is somewhat confusing ,24,Female,Strongly agree,Strongly agree,2020-05-05 09:23:33,,,,,,,,,JST,False,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,,45,Male,Somewhat agree,Strongly agree,2020-05-05 10:06:56,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,,20,Male,Somewhat agree,Somewhat agree,2020-05-11 08:17:55,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,36,Female,Strongly agree,Somewhat agree,2020-05-11 08:19:47,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,12 Abortions reduce the number of adoptable babies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,41,Male,Strongly agree,Somewhat agree,2020-05-11 08:20:12,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
